,Municipios,Distritos,Secciones,Indicadores de renta media y mediana,Periodo,Total
3311,46250 València,13,13010,Renta neta media por persona ,2021,16.795
3318,46250 València,13,13011,Renta neta media por persona ,2021,16.656
3325,46250 València,13,13012,Renta neta media por persona ,2021,17.089
3332,46250 València,13,13013,Renta neta media por persona ,2021,19.457
3339,46250 València,13,13014,Renta neta media por persona ,2021,17.174
3346,46250 València,13,13015,Renta neta media por persona ,2021,15.956
3353,46250 València,13,13016,Renta neta media por persona ,2021,8.912
3360,46250 València,13,13017,Renta neta media por persona ,2021,13.211
3367,46250 València,13,13019,Renta neta media por persona ,2021,14.133
3374,46250 València,13,13020,Renta neta media por persona ,2021,14.862
3381,46250 València,13,13021,Renta neta media por persona ,2021,18.239
3388,46250 València,13,13022,Renta neta media por persona ,2021,18.525
3395,46250 València,13,13023,Renta neta media por persona ,2021,19.563
3402,46250 València,13,13024,Renta neta media por persona ,2021,17.474
3409,46250 València,13,13025,Renta neta media por persona ,2021,19.799
3416,46250 València,13,13026,Renta neta media por persona ,2021,18.573
3423,46250 València,13,13027,Renta neta media por persona ,2021,18.628
3430,46250 València,13,13028,Renta neta media por persona ,2021,17.829
3437,46250 València,13,13029,Renta neta media por persona ,2021,14.754
3444,46250 València,13,13030,Renta neta media por persona ,2021,14.054
3458,46250 València,14,14001,Renta neta media por persona ,2021,20.637
3465,46250 València,14,14002,Renta neta media por persona ,2021,16.56
3472,46250 València,14,14003,Renta neta media por persona ,2021,13.522
3479,46250 València,14,14004,Renta neta media por persona ,2021,15.606
3486,46250 València,14,14005,Renta neta media por persona ,2021,12.932
3493,46250 València,14,14006,Renta neta media por persona ,2021,11.246
3500,46250 València,14,14007,Renta neta media por persona ,2021,11.934
3507,46250 València,14,14008,Renta neta media por persona ,2021,13.476
3514,46250 València,14,14009,Renta neta media por persona ,2021,13.102
3521,46250 València,14,14010,Renta neta media por persona ,2021,13.351
3528,46250 València,14,14012,Renta neta media por persona ,2021,12.679
3535,46250 València,14,14013,Renta neta media por persona ,2021,12.36
3542,46250 València,14,14014,Renta neta media por persona ,2021,15.299
3549,46250 València,14,14015,Renta neta media por persona ,2021,14.572
3556,46250 València,14,14016,Renta neta media por persona ,2021,12.075
3563,46250 València,14,14018,Renta neta media por persona ,2021,14.378
3570,46250 València,14,14019,Renta neta media por persona ,2021,14.506
3577,46250 València,14,14020,Renta neta media por persona ,2021,17.133
3584,46250 València,14,14021,Renta neta media por persona ,2021,23.057
3591,46250 València,14,14022,Renta neta media por persona ,2021,13.682
3598,46250 València,14,14023,Renta neta media por persona ,2021,16.886
3605,46250 València,14,14024,Renta neta media por persona ,2021,18.711
3619,46250 València,15,15001,Renta neta media por persona ,2021,7.234
3626,46250 València,15,15002,Renta neta media por persona ,2021,12.776
3633,46250 València,15,15003,Renta neta media por persona ,2021,11.683
3640,46250 València,15,15004,Renta neta media por persona ,2021,12.634
3647,46250 València,15,15005,Renta neta media por persona ,2021,8.016
3654,46250 València,15,15006,Renta neta media por persona ,2021,9.347
3661,46250 València,15,15007,Renta neta media por persona ,2021,7.606
3668,46250 València,15,15008,Renta neta media por persona ,2021,6.939
3675,46250 València,15,15010,Renta neta media por persona ,2021,7.75
3682,46250 València,15,15011,Renta neta media por persona ,2021,7.887
3689,46250 València,15,15012,Renta neta media por persona ,2021,10.48
3696,46250 València,15,15013,Renta neta media por persona ,2021,10.7
3703,46250 València,15,15014,Renta neta media por persona ,2021,10.084
3710,46250 València,15,15015,Renta neta media por persona ,2021,10.282
3717,46250 València,15,15016,Renta neta media por persona ,2021,10.615
3724,46250 València,15,15017,Renta neta media por persona ,2021,9.02
3731,46250 València,15,15018,Renta neta media por persona ,2021,11.286
3738,46250 València,15,15019,Renta neta media por persona ,2021,10.264
3745,46250 València,15,15020,Renta neta media por persona ,2021,9.252
3752,46250 València,15,15021,Renta neta media por persona ,2021,10.792
3759,46250 València,15,15022,Renta neta media por persona ,2021,10.184
3766,46250 València,15,15023,Renta neta media por persona ,2021,11.506
3773,46250 València,15,15024,Renta neta media por persona ,2021,12.974
3780,46250 València,15,15025,Renta neta media por persona ,2021,9.757
3787,46250 València,15,15026,Renta neta media por persona ,2021,9.223
3794,46250 València,15,15027,Renta neta media por persona ,2021,10.176
3801,46250 València,15,15028,Renta neta media por persona ,2021,13.04
3808,46250 València,15,15029,Renta neta media por persona ,2021,15.31
3815,46250 València,15,15030,Renta neta media por persona ,2021,13.704
3822,46250 València,15,15031,Renta neta media por persona ,2021,12.227
3829,46250 València,15,15032,Renta neta media por persona ,2021,11.058
3836,46250 València,15,15033,Renta neta media por persona ,2021,16.895
3843,46250 València,15,15034,Renta neta media por persona ,2021,18.007
3850,46250 València,15,15035,Renta neta media por persona ,2021,16.951
3857,46250 València,15,15036,Renta neta media por persona ,2021,9.677
3864,46250 València,15,15037,Renta neta media por persona ,2021,17.615
3871,46250 València,15,15038,Renta neta media por persona ,2021,19.398
3878,46250 València,15,15039,Renta neta media por persona ,2021,10.326
3885,46250 València,15,15040,Renta neta media por persona ,2021,18.249
3899,46250 València,16,16001,Renta neta media por persona ,2021,11.062
3906,46250 València,16,16002,Renta neta media por persona ,2021,11.043
3913,46250 València,16,16003,Renta neta media por persona ,2021,10.31
3920,46250 València,16,16004,Renta neta media por persona ,2021,9.127
3927,46250 València,16,16005,Renta neta media por persona ,2021,10.868
3934,46250 València,16,16006,Renta neta media por persona ,2021,10.246
3941,46250 València,16,16008,Renta neta media por persona ,2021,9.205
3948,46250 València,16,16009,Renta neta media por persona ,2021,8.363
3955,46250 València,16,16010,Renta neta media por persona ,2021,11.721
3962,46250 València,16,16011,Renta neta media por persona ,2021,11.06
3969,46250 València,16,16012,Renta neta media por persona ,2021,9.429
3976,46250 València,16,16013,Renta neta media por persona ,2021,9.738
3983,46250 València,16,16014,Renta neta media por persona ,2021,12.137
3990,46250 València,16,16015,Renta neta media por persona ,2021,11.668
3997,46250 València,16,16016,Renta neta media por persona ,2021,13.36
4004,46250 València,16,16017,Renta neta media por persona ,2021,13.352
4011,46250 València,16,16018,Renta neta media por persona ,2021,11.116
4018,46250 València,16,16019,Renta neta media por persona ,2021,14.339
4025,46250 València,16,16020,Renta neta media por persona ,2021,10.045
4032,46250 València,16,16021,Renta neta media por persona ,2021,8.99
4039,46250 València,16,16022,Renta neta media por persona ,2021,8.74
4046,46250 València,16,16023,Renta neta media por persona ,2021,9.275
4053,46250 València,16,16024,Renta neta media por persona ,2021,13.021
4060,46250 València,16,16025,Renta neta media por persona ,2021,10.838
4067,46250 València,16,16026,Renta neta media por persona ,2021,10.744
4074,46250 València,16,16027,Renta neta media por persona ,2021,12.811
4081,46250 València,16,16028,Renta neta media por persona ,2021,16.73
4088,46250 València,16,16029,Renta neta media por persona ,2021,16.325
4095,46250 València,16,16030,Renta neta media por persona ,2021,14.88
4102,46250 València,16,16031,Renta neta media por persona ,2021,21.349
4109,46250 València,16,16032,Renta neta media por persona ,2021,14.377
4116,46250 València,16,16033,Renta neta media por persona ,2021,14.085
4130,46250 València,17,17001,Renta neta media por persona ,2021,12.844
4137,46250 València,17,17002,Renta neta media por persona ,2021,11.524
4144,46250 València,17,17003,Renta neta media por persona ,2021,13.575
4151,46250 València,17,17006,Renta neta media por persona ,2021,19.347
4158,46250 València,17,17007,Renta neta media por persona ,2021,12.364
4172,46250 València,18,18001,Renta neta media por persona ,2021,11.016
4179,46250 València,18,18002,Renta neta media por persona ,2021,9.913
4186,46250 València,18,18003,Renta neta media por persona ,2021,11.569
4193,46250 València,18,18004,Renta neta media por persona ,2021,14.079
4200,46250 València,18,18005,Renta neta media por persona ,2021,10.406
4207,46250 València,18,18006,Renta neta media por persona ,2021,9.369
4214,46250 València,18,18007,Renta neta media por persona ,2021,11.439
4221,46250 València,18,18008,Renta neta media por persona ,2021,10.091
4228,46250 València,18,18009,Renta neta media por persona ,2021,11.768
4235,46250 València,18,18010,Renta neta media por persona ,2021,10.243
4249,46250 València,19,19001,Renta neta media por persona ,2021,10.513
4256,46250 València,19,19002,Renta neta media por persona ,2021,10.734
4263,46250 València,19,19003,Renta neta media por persona ,2021,11.294
4270,46250 València,19,19004,Renta neta media por persona ,2021,12.27
4277,46250 València,19,19005,Renta neta media por persona ,2021,13.01
4284,46250 València,19,19006,Renta neta media por persona ,2021,13.194
4291,46250 València,19,19007,Renta neta media por persona ,2021,14.474
4298,46250 València,19,19008,Renta neta media por persona ,2021,16.468
4305,46250 València,19,19009,Renta neta media por persona ,2021,13.305
4312,46250 València,19,19011,Renta neta media por persona ,2021,8.239
4319,46250 València,19,19012,Renta neta media por persona ,2021,11.072
4326,46250 València,19,19013,Renta neta media por persona ,2021,11.132
4333,46250 València,19,19014,Renta neta media por persona ,2021,10.144
4340,46250 València,19,19015,Renta neta media por persona ,2021,12.552
4347,46250 València,19,19016,Renta neta media por persona ,2021,17.135
