,direccion,barrio,distrito,precio,metros
297,"Aiora, València",Aiora,Camins al Grau,650€/mes,105 m²
298,"Aiora, València",Aiora,Camins al Grau,3.400€/mes,340 m²
299,"Aiora, València",Aiora,Camins al Grau,1.300€/mes,235 m²
300,"calle de Peris Brell, 42, Aiora, València",Aiora,Camins al Grau,400€/mes,30 m²
301,"Nave en calle de la Fue, 1, Aiora, València",Aiora,Camins al Grau,350€/mes,30 m²
302,"calle peris brell 62, 62, Aiora, València",Aiora,Camins al Grau,250€/mes,20 m²
303,"Rio Escalona, Penya-Roja, València",Penya-roja,Camins al Grau,4.500€/mes,700 m²
304,"avenida de Francia, Penya-Roja, València",Penya-roja,Camins al Grau,5.000€/mes,220 m²
305,"Penya-Roja, València",Penya-roja,Camins al Grau,800€/mes,198 m²
306,"avenida de Francia, Penya-Roja, València",Penya-roja,Camins al Grau,5.100€/mes,308 m²
307,"Penya-Roja, València",Penya-roja,Camins al Grau,1.000€/mes,101 m²
308,"avenida de Francia, 14, Penya-Roja, València",Penya-roja,Camins al Grau,4.000€/mes,198 m²
309,"Penya-Roja, València",Penya-roja,Camins al Grau,2.700€/mes,385 m²
310,"paseo de la Alameda, Penya-Roja, València",Penya-roja,Camins al Grau,2.500€/mes,176 m²
311,"avenida de Francia, 44, Penya-Roja, València",Penya-roja,Camins al Grau,40.000€/mes,2.400 m²
312,"Penya-Roja, València",Penya-roja,Camins al Grau,2.500€/mes,176 m²
313,"Penya-Roja, València",Penya-roja,Camins al Grau,1.900€/mes,133 m²
314,"calle del Riu Escalona, 38, Penya-Roja, València",Penya-roja,Camins al Grau,800€/mes,190 m²
315,"Penya-Roja, València",Penya-roja,Camins al Grau,2.500€/mes,176 m²
316,"Penya-Roja, València",Penya-roja,Camins al Grau,2.040€/mes,125 m²
317,"paseo Alameda, Penya-Roja, València",Penya-roja,Camins al Grau,2.500€/mes,176 m²
318,"Penya-Roja, València",Penya-roja,Camins al Grau,2.200€/mes,98 m²
319,"Penya-Roja, València",Penya-roja,Camins al Grau,4.000€/mes,184 m²
320,"calle d'Alfred Toran i Olmos, 3, Penya-Roja, València",Penya-roja,Camins al Grau,1.500€/mes,163 m²
321,"calle de la Pobla de Farnals, 35, Albors, València",Albors,Camins al Grau,749€/mes,65 m²
322,"avenida del Cardenal Benlloch, 10, Albors, València",Albors,Camins al Grau,2.300€/mes,443 m²
323,"calle d'Abén al Abbar, Albors, València",Albors,Camins al Grau,1.500€/mes,176 m²
324,"calle de Rodríguez de Cepeda, Albors, València",Albors,Camins al Grau,735€/mes,70 m²
325,"calle de Rodríguez de Cepeda, Albors, València",Albors,Camins al Grau,9.700€/mes,1.280 m²
326,"calle de Rodríguez de Cepeda, Albors, València",Albors,Camins al Grau,500€/mes,30 m²
327,"Albors, València",Albors,Camins al Grau,1.143€/mes,120 m²
328,"calle Santos Justo y Pastor, 32, Valencia, 32, Albors, València",Albors,Camins al Grau,550€/mes,87 m²
329,"plaza de Sant Felip Neri, 8, Albors, València",Albors,Camins al Grau,750€/mes,110 m²
330,"calle dels Sants Just i Pastor, 56, Albors, València",Albors,Camins al Grau,750€/mes,65 m²
331,"plaza de Sant Felip Neri, 1, Albors, València",Albors,Camins al Grau,200€/mes,12 m²
332,"Albors, València",Albors,Camins al Grau,950€/mes,144 m²
333,"calle del Doctor Manuel Candela, Albors, València",Albors,Camins al Grau,1.100€/mes,65 m²
334,"calle de l'Actor Llorens, 50, Albors, València",Albors,Camins al Grau,2.100€/mes,850 m²
335,"calle de Salvador Pau, 34, Albors, València",Albors,Camins al Grau,800€/mes,160 m²
336,"calle de Rodríguez de Cepeda, 40, Albors, València",Albors,Camins al Grau,800€/mes,95 m²
337,"calle de Rugat, 3, Albors, València",Albors,Camins al Grau,500€/mes,122 m²
338,"avenida del Puerto, Camí Fondo, València",Camí Fondo,Camins al Grau,900€/mes,80 m²
339,"avenida del Port, Camí Fondo, València",Camí Fondo,Camins al Grau,900€/mes,80 m²
340,"Camí Fondo, València",Camí Fondo,Camins al Grau,1.500€/mes,200 m²
341,"calle del Riu Escalona, Camí Fondo, València",Camí Fondo,Camins al Grau,410€/mes,71 m²
342,"Camí Fondo, València",Camí Fondo,Camins al Grau,1.600€/mes,239 m²
343,"Camí Fondo, València",Camí Fondo,Camins al Grau,900€/mes,80 m²
344,"Camí Fondo, València",Camí Fondo,Camins al Grau,900€/mes,81 m²
345,"Camí Fondo, València",Camí Fondo,Camins al Grau,1.000€/mes,200 m²
346,"calle d'Astúries, 51, Camí Fondo, València",Camí Fondo,Camins al Grau,790€/mes,80 m²
347,"avenida del Puerto, 134, Camí Fondo, València",Camí Fondo,Camins al Grau,1.500€/mes,160 m²
348,"avenida del Puerto, Camí Fondo, València",Camí Fondo,Camins al Grau,900€/mes,80 m²
349,"calle del Riu Escalona, 15, Camí Fondo, València",Camí Fondo,Camins al Grau,850€/mes,56 m²
350,"Jorge Comin, 5, Nou Campanar, València",Nou Campanar,Campanar,2.200€/mes,120 m²
351,"calle d'Hernández Lázaro, 34, Nou Campanar, València",Nou Campanar,Campanar,650€/mes,67 m²
352,"Valle De La Ballestera, Nou Campanar, València",Nou Campanar,Campanar,2.300€/mes,190 m²
353,"avenida Tamarindos, Nou Campanar, València",Nou Campanar,Campanar,8.000€/mes,1.978 m²
354,"Nou Campanar, València",Nou Campanar,Campanar,8.900€/mes,2.008 m²
355,"avenida de Manuel de Falla, 11, Nou Campanar, València",Nou Campanar,Campanar,8.900€/mes,2.008 m²
356,"Nou Campanar, València",Nou Campanar,Campanar,8.900€/mes,2.008 m²
357,"Nave en Nou Campanar, València",Nou Campanar,Campanar,8.900€/mes,2.008 m²
358,"Nou Campanar, València",Nou Campanar,Campanar,1.700€/mes,210 m²
359,"Nou Campanar, València",Nou Campanar,Campanar,1.800€/mes,210 m²
360,"Valle De La Ballestera, Nou Campanar, València",Nou Campanar,Campanar,1.500€/mes,150 m²
361,"Valle De La Ballestera, Nou Campanar, València",Nou Campanar,Campanar,800€/mes,40 m²
362,"avenida dels Tamarindes, 45, Nou Campanar, València",Nou Campanar,Campanar,2.200€/mes,111 m²
363,"Nou Campanar, València",Nou Campanar,Campanar,2.000€/mes,167 m²
364,"Nou Campanar, València",Nou Campanar,Campanar,4.600€/mes,387 m²
365,"Nou Campanar, València",Nou Campanar,Campanar,3.250€/mes,270 m²
366,"Nou Campanar, València",Nou Campanar,Campanar,9.900€/mes,2.030 m²
367,"avenida Manuel de Falla, 10, Nou Campanar, València",Nou Campanar,Campanar,9.900€/mes,2.090 m²
368,"calle de la Vall de la Ballestera, 65, Nou Campanar, València",Nou Campanar,Campanar,1.800€/mes,200 m²
369,"Nou Campanar, València",Nou Campanar,Campanar,500€/mes,135 m²
370,"Nou Campanar, València",Nou Campanar,Campanar,2.200€/mes,200 m²
371,"calle de Góngora, 1, Campanar, València",Campanar,Campanar,3.500€/mes,410 m²
372,"calle De La Parra, 8, Campanar, València",Campanar,Campanar,950€/mes,80 m²
373,"calle del Monestir de Poblet, Campanar, València",Campanar,Campanar,1.900€/mes,310 m²
374,"calle del Poeta Antonino Chocomeli, 5, Campanar, València",Campanar,Campanar,800€/mes,140 m²
375,"calle de la Mare de Déu del Tremedal, 4, Campanar, València",Campanar,Campanar,950€/mes,96 m²
376,"avenida de Campanar, Campanar, València",Campanar,Campanar,8.500€/mes,2.000 m²
377,"Local o nave en calle del Professor Beltrán Báguena, Campanar, València",Campanar,Campanar,500€/mes,75 m²
378,"calle del Poeta Antonino Chocomeli, 5, Campanar, València",Campanar,Campanar,850€/mes,140 m²
379,"Local o nave en calle de Joan Aguilar, Campanar, València",Campanar,Campanar,1.500€/mes,150 m²
380,"calle de la Parra, Campanar, València",Campanar,Campanar,950€/mes,80 m²
381,"Campanar, València",Campanar,Campanar,650€/mes,75 m²
382,"calle de la Vall de la Ballestera, 10, Campanar, València",Campanar,Campanar,2.200€/mes,340 m²
383,"avenida de Campanar, 31, Campanar, València",Campanar,Campanar,550€/mes,35 m²
384,"calle del Molí de la Marquesa, 14, Campanar, València",Campanar,Campanar,250€/mes,85 m²
385,"avenida de Pius XII, 2, Campanar, València",Campanar,Campanar,1.175€/mes,42 m²
386,"Local o nave en Carrer del Professor Beltrán Báguena, Campanar, València",Campanar,Campanar,500€/mes,75 m²
387,"Valdelinares, Campanar, València",Campanar,Campanar,550€/mes,40 m²
388,"Campanar, València",Campanar,Campanar,550€/mes,40 m²
389,"avenida de Pius XII, 2, Campanar, València",Campanar,Campanar,600€/mes,40 m²
390,"calle del Marqués de Sant Joan, 7, Campanar, València",Campanar,Campanar,816€/mes,139 m²
391,"avenida de Burjassot, El Calvari, València",El Calvari,Campanar,1.350€/mes,154 m²
392,"plaza del Poeta Salvador Rueda, 12, El Calvari, València",El Calvari,Campanar,500€/mes,118 m²
393,"campanar, El Calvari, València",El Calvari,Campanar,8.500€/mes,1.921 m²
394,"avenida de Campanar, 8, El Calvari, València",El Calvari,Campanar,8.000€/mes,1.920 m²
395,"calle de Conchita Piquer, 7, El Calvari, València",El Calvari,Campanar,2.200€/mes,924 m²
396,"avenida de Campanar, El Calvari, València",El Calvari,Campanar,8.500€/mes,1.921 m²
397,"Avinguda de Campanar, El Calvari, València",El Calvari,Campanar,650€/mes,132 m²
398,"El Calvari, València",El Calvari,Campanar,1.800€/mes,500 m²
399,"El Calvari, València",El Calvari,Campanar,900€/mes,81 m²
400,"calle Ricardo Micó, El Calvari, València",El Calvari,Campanar,700€/mes,65 m²
401,"plaza del Poeta Salvador Rueda, El Calvari, València",El Calvari,Campanar,750€/mes,141 m²
402,"plaza del Poeta Salvador Rueda, El Calvari, València",El Calvari,Campanar,1.000€/mes,348 m²
403,"El Calvari, València",El Calvari,Campanar,8.500€/mes,1.921 m²
404,"avenida de Burjassot, El Calvari, València",El Calvari,Campanar,500€/mes,30 m²
405,"El Calvari, València",El Calvari,Campanar,8.500€/mes,1.921 m²
406,"El Calvari, València",El Calvari,Campanar,1.800€/mes,500 m²
407,"calle de conchita piquer, 10, El Calvari, València",El Calvari,Campanar,450€/mes,130 m²
408,"calle Médico Ramón Tarazona, Sant Pau, València",Sant Pau,Campanar,900€/mes,70 m²
409,"avenida del General Avilés, 62, Sant Pau, València",Sant Pau,Campanar,800€/mes,39 m²
410,"avenida del Mestre Rodrigo, 85, Sant Pau, València",Sant Pau,Campanar,525€/mes,66 m²
411,"calle de la Safor, 5, Sant Pau, València",Sant Pau,Campanar,5.000€/mes,338 m²
412,"Sant Pau, València",Sant Pau,Campanar,650€/mes,105 m²
413,"calle La Safor, 5, Sant Pau, València",Sant Pau,Campanar,5.000€/mes,314 m²
414,"avenida Cortes Valencianas, 17, Sant Pau, València",Sant Pau,Campanar,1.200€/mes,55 m²
415,"calle de la Marina Baixa, Sant Pau, València",Sant Pau,Campanar,800€/mes,145 m²
416,"Sant Pau, València",Sant Pau,Campanar,1.030€/mes,120 m²
417,"avenida De Las Cortes Valencianas, 17, Sant Pau, València",Sant Pau,Campanar,1.200€/mes,50 m²
418,"Terreno Pp Sector 13 Campanar-nor, 1, Sant Pau, València",Sant Pau,Campanar,2.000€/mes,347 m²
419,"calle Tenor García Romero, Sant Pau, València",Sant Pau,Campanar,500€/mes,75 m²
420,"Sant Pau, València",Sant Pau,Campanar,2.180€/mes,347 m²
421,"av Burjasot, 9, Les Tendetes, València",Les Tendetes,Campanar,3.200€/mes,384 m²
422,"calle del Pare Ferrís, Les Tendetes, València",Les Tendetes,Campanar,2.500€/mes,1.300 m²
423,"calle de Joaquim Ballester, 5, Les Tendetes, València",Les Tendetes,Campanar,300€/mes,37 m²
424,"calle Joaquín Ballester, Les Tendetes, València",Les Tendetes,Campanar,650€/mes,82 m²
425,"Barrio Tendetes, s/n, Les Tendetes, València",Les Tendetes,Campanar,1.550€/mes,117 m²
426,"calle de la Vall de Laguar, Les Tendetes, València",Les Tendetes,Campanar,850€/mes,108 m²
427,"calle de Mauro Guillén, 6, Les Tendetes, València",Les Tendetes,Campanar,750€/mes,70 m²
428,"calle de Mauro Guillén, 3, Les Tendetes, València",Les Tendetes,Campanar,1.300€/mes,170 m²
429,"avenida de las Cortes Valencianas, s/n, Beniferri, València",Beniferri,Campanar,1.900€/mes,150 m²
430,"calle dels Xiprers, 2, Beniferri, València",Beniferri,Campanar,6.500€/mes,750 m²
431,"avenida de las Cortes Valencianas, 58, Beniferri, València",Beniferri,Campanar,1.300€/mes,188 m²
432,"avenida Cortes Valencianas, Beniferri, València",Beniferri,Campanar,2.500€/mes,250 m²
433,"avenida de les Corts Valencianes, 58, Beniferri, València",Beniferri,Campanar,1.500€/mes,240 m²
434,"plaza de Rodrigo Botet, Sant Francesc, València",Sant Francesc,Ciutat Vella,18.000€/mes,1.657 m²
435,"plaza Mariano Benlliure, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,75 m²
436,"Soledad, 2, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.800€/mes,180 m²
437,"san pablo, 3, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.300€/mes,85 m²
438,"cerdan de tallada, Sant Francesc, València",Sant Francesc,Ciutat Vella,3.400€/mes,325 m²
439,"calle de la Barcelonina, Sant Francesc, València",Sant Francesc,Ciutat Vella,5.000€/mes,247 m²
440,"calle dels Transits, Sant Francesc, València",Sant Francesc,Ciutat Vella,18.000€/mes,1.474 m²
441,"calle del Pintor Sorolla, 18, Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,420 m²
442,"calle del Pintor Sorolla, Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,488 m²
443,"calle del Pintor Sorolla, Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,488 m²
444,"paseo Ruzafa, Sant Francesc, València",Sant Francesc,Ciutat Vella,17.800€/mes,500 m²
445,"calle de Moratín, Sant Francesc, València",Sant Francesc,Ciutat Vella,8.000€/mes,342 m²
446,"calle del Frare, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.840€/mes,192 m²
447,"calle de l'Emperador, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.800€/mes,79 m²
448,"plaza d'Alfons el Magnànim, Sant Francesc, València",Sant Francesc,Ciutat Vella,2.300€/mes,165 m²
449,"calle de Sagasta, Sant Francesc, València",Sant Francesc,Ciutat Vella,2.000€/mes,176 m²
450,"plaza Mariano Benlliure, 7, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,80 m²
451,"Sant Francesc, València",Sant Francesc,Ciutat Vella,12.000€/mes,755 m²
452,"calle de L´emperador, Sant Francesc, València",Sant Francesc,Ciutat Vella,4.800€/mes,140 m²
453,"calle del Doctor Romagosa, Sant Francesc, València",Sant Francesc,Ciutat Vella,2.400€/mes,130 m²
454,"Sant Francesc, València",Sant Francesc,Ciutat Vella,12.000€/mes,755 m²
455,"calle de Sant Vicent Màrtir, Sant Francesc, València",Sant Francesc,Ciutat Vella,3.900€/mes,104 m²
456,"plaza de Mariano Benlliure, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,65 m²
457,"Sant Francesc, València",Sant Francesc,Ciutat Vella,12.000€/mes,750 m²
458,"Local o nave en plaza de l'Ajuntament, Sant Francesc, València",Sant Francesc,Ciutat Vella,6.542€/mes,444 m²
459,"calle de la Redempció, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.200€/mes,65 m²
460,"calle del Pintor Sorolla, 18, Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,400 m²
461,"calle de la Nave, 12, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.600€/mes,139 m²
462,"calle de Maestro Clave, Sant Francesc, València",Sant Francesc,Ciutat Vella,2.200€/mes,120 m²
463,"calle de Vilaragut, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,170 m²
464,"calle de Sant Pau, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.300€/mes,130 m²
465,"calle de Vilaragut, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,75 m²
466,"calle del Gravador Selma, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.100€/mes,44 m²
467,"Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,174 m²
468,"Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,419 m²
469,"calle de Ribera, Sant Francesc, València",Sant Francesc,Ciutat Vella,3.500€/mes,40 m²
470,"plaza de Alfonso el Magnánimo, Sant Francesc, València",Sant Francesc,Ciutat Vella,4.200€/mes,120 m²
471,"Sant Francesc, València",Sant Francesc,Ciutat Vella,4.000€/mes,155 m²
472,"calle Josep Cervera y Grífol, 8, Sant Francesc, València",Sant Francesc,Ciutat Vella,400€/mes,60 m²
473,"Sant Francesc, València",Sant Francesc,Ciutat Vella,1.904€/mes,192 m²
474,"calle de Don Juan de Austria, Sant Francesc, València",Sant Francesc,Ciutat Vella,4.800€/mes,150 m²
475,"calle Huesca, 5, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.100€/mes,63 m²
476,"Sant Francesc, València",Sant Francesc,Ciutat Vella,7.500€/mes,488 m²
477,"Sant Francesc, València",Sant Francesc,Ciutat Vella,2.000€/mes,130 m²
478,"plaza Jativa, Sant Francesc, València",Sant Francesc,Ciutat Vella,500€/mes,16 m²
479,"Local o nave en Sant Francesc, València",Sant Francesc,Ciutat Vella,1.500€/mes,62 m²
480,"Sant Francesc, València",Sant Francesc,Ciutat Vella,15.000€/mes,200 m²
481,"Cura femenina, 13, Sant Francesc, València",Sant Francesc,Ciutat Vella,1.100€/mes,132 m²
482,"calle de la Mare de Déu de Gràcia, 3, Sant Francesc, València",Sant Francesc,Ciutat Vella,550€/mes,23 m²
483,"calle Pie de la Cruz, 7, El Mercat, València",El mercat,Ciutat Vella,850€/mes,196 m²
484,"calle de Maestro Clave, 4, El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,110 m²
485,"Poeta Llombart, 4, El Mercat, València",El mercat,Ciutat Vella,1.000€/mes,105 m²
486,"calle San Vicente Mártir, El Mercat, València",El mercat,Ciutat Vella,9.500€/mes,655 m²
487,"calle de la Sénia, El Mercat, València",El mercat,Ciutat Vella,890€/mes,67 m²
488,"plaza de la Ciudad de Brujas, 3, El Mercat, València",El mercat,Ciutat Vella,6.542€/mes,444 m²
489,"avenida del oeste, El Mercat, València",El mercat,Ciutat Vella,1.300€/mes,98 m²
490,"Maestro Clave, El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,110 m²
491,"plaza del Horno de San Nicolás, 5, El Mercat, València",El mercat,Ciutat Vella,1.300€/mes,85 m²
492,"calle de la Conquesta, 3, Ciutat Vella, 46001 Valencia, 3, El Mercat, València",El mercat,Ciutat Vella,1.700€/mes,175 m²
493,"plaza Don Juan de Villarrasa, El Mercat, València",El mercat,Ciutat Vella,1.500€/mes,150 m²
494,"plaza del Mercat, El Mercat, València",El mercat,Ciutat Vella,390€/mes,35 m²
495,"calle del Mestre Clavé, El Mercat, València",El mercat,Ciutat Vella,900€/mes,75 m²
496,"calle dels Aluders, El Mercat, València",El mercat,Ciutat Vella,3.000€/mes,528 m²
497,"El Mercat, València",El mercat,Ciutat Vella,16.000€/mes,197 m²
498,"plaza Redonda, El Mercat, València",El mercat,Ciutat Vella,1.600€/mes,20 m²
499,"calle Cerrajeros, El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,75 m²
500,"calle del Editor Manuel Aguilar, El Mercat, València",El mercat,Ciutat Vella,1.299€/mes,148 m²
501,"Nave en El Mercat, València",El mercat,Ciutat Vella,1.800€/mes,134 m²
502,"plaza Ciudad de Brujas, 3, El Mercat, València",El mercat,Ciutat Vella,6.542€/mes,444 m²
503,"calle del Mestre Clavé, El Mercat, València",El mercat,Ciutat Vella,2.100€/mes,110 m²
504,"calle dels Aluders, El Mercat, València",El mercat,Ciutat Vella,4.000€/mes,528 m²
505,"calle de Liñan, El Mercat, València",El mercat,Ciutat Vella,2.500€/mes,88 m²
506,"calle dels Aluders, El Mercat, València",El mercat,Ciutat Vella,3.000€/mes,528 m²
507,"plaza Juan de Vilarrasa, El Mercat, València",El mercat,Ciutat Vella,1.100€/mes,65 m²
508,"Cerrajeros 46001, El Mercat, València",El mercat,Ciutat Vella,2.100€/mes,78 m²
509,"Maestro Clave, El Mercat, València",El mercat,Ciutat Vella,2.100€/mes,110 m²
510,"El Mercat, València",El mercat,Ciutat Vella,6.541€/mes,444 m²
511,"El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,110 m²
512,"El Mercat, València",El mercat,Ciutat Vella,1.200€/mes,84 m²
513,"calle dels Adreçadors, 10, El Mercat, València",El mercat,Ciutat Vella,2.000€/mes,220 m²
514,"El Mercat, València",El mercat,Ciutat Vella,4.000€/mes,60 m²
515,"El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,80 m²
516,"El Mercat, València",El mercat,Ciutat Vella,1.300€/mes,146 m²
517,"El Mercat, València",El mercat,Ciutat Vella,1.800€/mes,80 m²
518,"Local o nave en El Mercat, València",El mercat,Ciutat Vella,700€/mes,34 m²
519,"El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,120 m²
520,"calle del Mestre Clavé, 4, El Mercat, València",El mercat,Ciutat Vella,2.200€/mes,110 m²
521,"plaza de la Ciutat de Bruges, s/n, El Mercat, València",El mercat,Ciutat Vella,350€/mes,14 m²
522,"calle Ruiz de Lihory, La Xerea, València",La Xerea,Ciutat Vella,1.500€/mes,102 m²
523,"Embajador Vich, La Xerea, València",La Xerea,Ciutat Vella,2.000€/mes,202 m²
524,"Embajador Vich, La Xerea, València",La Xerea,Ciutat Vella,3.500€/mes,330 m²
525,"calle de la Pau, La Xerea, València",La Xerea,Ciutat Vella,3.720€/mes,100 m²
526,"calle de las Comedias, La Xerea, València",La Xerea,Ciutat Vella,1.400€/mes,57 m²
527,"calle de las Comedias, La Xerea, València",La Xerea,Ciutat Vella,2.500€/mes,80 m²
528,"La Xerea, València",La Xerea,Ciutat Vella,5.000€/mes,420 m²
529,"plaza d'Alfons el Magnànim, La Xerea, València",La Xerea,Ciutat Vella,3.533€/mes,120 m²
530,"Comedias, La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
531,"Embajador Vich, La Xerea, València",La Xerea,Ciutat Vella,1.500€/mes,128 m²
532,"La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
533,"calle de la Nau, La Xerea, València",La Xerea,Ciutat Vella,950€/mes,88 m²
534,"La Xerea, València",La Xerea,Ciutat Vella,2.100€/mes,432 m²
535,"calle de l'Ambaixador Vich, La Xerea, València",La Xerea,Ciutat Vella,3.500€/mes,330 m²
536,"calle La Paz, La Xerea, València",La Xerea,Ciutat Vella,4.950€/mes,180 m²
537,"calle de las Comedias, La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
538,"Mossen Mila, La Xerea, València",La Xerea,Ciutat Vella,1.100€/mes,79 m²
539,"calle de Salvà, La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,90 m²
540,"calle de Muñoz Degrain, La Xerea, València",La Xerea,Ciutat Vella,1.400€/mes,65 m²
541,"calle de las Comedias, La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
542,"calle Ruiz de Lihory, La Xerea, València",La Xerea,Ciutat Vella,600€/mes,71 m²
543,"calle de las Comedias, La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
544,"La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
545,"calle del Miracle, La Xerea, València",La Xerea,Ciutat Vella,850€/mes,76 m²
546,"La Xerea, València",La Xerea,Ciutat Vella,1.200€/mes,70 m²
547,"La Xerea, València",La Xerea,Ciutat Vella,600€/mes,66 m²
548,"plaza de Mossèn Milà, La Xerea, València",La Xerea,Ciutat Vella,1.200€/mes,74 m²
549,"La Pau, La Xerea, València",La Xerea,Ciutat Vella,3.000€/mes,300 m²
550,"calle De La Paz, 35, La Xerea, València",La Xerea,Ciutat Vella,2.900€/mes,170 m²
551,"calle de la Paz, La Xerea, València",La Xerea,Ciutat Vella,2.500€/mes,146 m²
552,"calle de la Paz, La Xerea, València",La Xerea,Ciutat Vella,2.500€/mes,146 m²
553,"La Xerea, València",La Xerea,Ciutat Vella,1.200€/mes,74 m²
554,"La Xerea, València",La Xerea,Ciutat Vella,1.800€/mes,190 m²
555,"calle Del Mar, La Xerea, València",La Xerea,Ciutat Vella,1.200€/mes,65 m²
556,"calle del Mar, 48, La Xerea, València",La Xerea,Ciutat Vella,1.200€/mes,140 m²
557,"calle de Ruiz de Lihory, 9, La Xerea, València",La Xerea,Ciutat Vella,600€/mes,71 m²
558,"calle del Miracle, 11, La Xerea, València",La Xerea,Ciutat Vella,850€/mes,85 m²
559,"La Xerea, València",La Xerea,Ciutat Vella,2.400€/mes,80 m²
560,"plaza de Tetuan, 18, La Xerea, València",La Xerea,Ciutat Vella,2.999€/mes,400 m²
561,"El Carme, València",El Carme,Ciutat Vella,1.100€/mes,65 m²
562,"calle de Salvador Giner, El Carme, València",El Carme,Ciutat Vella,1.000€/mes,60 m²
563,"calle de Guillem de Castro, 134, El Carme, València",El Carme,Ciutat Vella,600€/mes,76 m²
564,"calle de Alejandra Soler, El Carme, València",El Carme,Ciutat Vella,700€/mes,149 m²
565,"calle de la Blanqueria, El Carme, València",El Carme,Ciutat Vella,2.500€/mes,288 m²
566,"El Carme, València",El Carme,Ciutat Vella,2.000€/mes,124 m²
567,"Sogueros, 11, El Carme, València",El Carme,Ciutat Vella,895€/mes,95 m²
568,"calle Pinzón, El Carme, València",El Carme,Ciutat Vella,1.500€/mes,190 m²
569,"El Carme, València",El Carme,Ciutat Vella,1.900€/mes,240 m²
570,"calle Alta, 46, El Carme, València",El Carme,Ciutat Vella,750€/mes,60 m²
571,"El Carme, València",El Carme,Ciutat Vella,1.500€/mes,128 m²
572,"plaza de Vicent Iborra, 5, El Carme, València",El Carme,Ciutat Vella,980€/mes,77 m²
573,"El Carme, València",El Carme,Ciutat Vella,550€/mes,87 m²
574,"calle del Rei en Jaume, El Carme, València",El Carme,Ciutat Vella,950€/mes,120 m²
575,"Guillem de Castro, El Carme, València",El Carme,Ciutat Vella,1.000€/mes,105 m²
576,"El Carme, València",El Carme,Ciutat Vella,7.200€/mes,250 m²
577,"calle de Llíria, 16, El Carme, València",El Carme,Ciutat Vella,650€/mes,180 m²
578,"calle de Dalt, 46, El Carme, València",El Carme,Ciutat Vella,750€/mes,65 m²
579,"El Carme, València",El Carme,Ciutat Vella,1.800€/mes,110 m²
580,"El Carme, València",El Carme,Ciutat Vella,612€/mes,110 m²
581,"calle de la Blanqueria, 5, El Carme, València",El Carme,Ciutat Vella,1.800€/mes,105 m²
582,"El Carme, València",El Carme,Ciutat Vella,1.500€/mes,191 m²
583,"El Carme, València",El Carme,Ciutat Vella,840€/mes,75 m²
584,"El Carme, València",El Carme,Ciutat Vella,800€/mes,115 m²
585,"El Carme, València",El Carme,Ciutat Vella,895€/mes,95 m²
586,"calle del Portal de Valldigna, 1, El Carme, València",El Carme,Ciutat Vella,1.000€/mes,83 m²
587,"El Carme, València",El Carme,Ciutat Vella,450€/mes,41 m²
588,"calle de Ripalda, 25, El Carme, València",El Carme,Ciutat Vella,650€/mes,120 m²
589,"calle En Plom, El Pilar, València",El Pilar,Ciutat Vella,750€/mes,80 m²
590,"calle de Recared, El Pilar, València",El Pilar,Ciutat Vella,700€/mes,34 m²
591,"calle Guillem de Castro, El Pilar, València",El Pilar,Ciutat Vella,1.300€/mes,390 m²
592,"calle Guillem de Castro, El Pilar, València",El Pilar,Ciutat Vella,1.300€/mes,180 m²
